,county,year,race,value
0,Ascension Parish,2000,White alone,121392
1,Ascension Parish,2001,White alone,124214
2,Ascension Parish,2002,White alone,127658
3,Ascension Parish,2003,White alone,131920
4,Ascension Parish,2004,White alone,135554
5,Ascension Parish,2005,White alone,140574
6,Ascension Parish,2006,White alone,147482
7,Ascension Parish,2007,White alone,152366
8,Ascension Parish,2008,White alone,155696
9,Ascension Parish,2009,White alone,158528
10,Ascension Parish,2010,White alone,162200
11,Ascension Parish,2011,White alone,165110
12,Ascension Parish,2012,White alone,167806
13,Ascension Parish,2013,White alone,171060
14,Ascension Parish,2014,White alone,174362
15,Ascension Parish,2015,White alone,176812
16,Ascension Parish,2016,White alone,179500
17,Ascension Parish,2017,White alone,181068
18,Ascension Parish,2018,White alone,182692
19,Ascension Parish,2019,White alone,184002
20,Ascension Parish,2020,White alone,185982
21,Caddo Parish,2000,White alone,267802
22,Caddo Parish,2001,White alone,265088
23,Caddo Parish,2002,White alone,262298
24,Caddo Parish,2003,White alone,260230
25,Caddo Parish,2004,White alone,259740
26,Caddo Parish,2005,White alone,258968
27,Caddo Parish,2006,White alone,255984
28,Caddo Parish,2007,White alone,254610
29,Caddo Parish,2008,White alone,252728
30,Caddo Parish,2009,White alone,252986
31,Caddo Parish,2010,White alone,253990
32,Caddo Parish,2011,White alone,253822
33,Caddo Parish,2012,White alone,252190
34,Caddo Parish,2013,White alone,247848
35,Caddo Parish,2014,White alone,243674
36,Caddo Parish,2015,White alone,240494
37,Caddo Parish,2016,White alone,235854
38,Caddo Parish,2017,White alone,231358
39,Caddo Parish,2018,White alone,227034
40,Caddo Parish,2019,White alone,222982
41,Caddo Parish,2020,White alone,219142
42,East Baton Rouge Parish,2000,White alone,468290
43,East Baton Rouge Parish,2001,White alone,462574
44,East Baton Rouge Parish,2002,White alone,457422
45,East Baton Rouge Parish,2003,White alone,454116
46,East Baton Rouge Parish,2004,White alone,450658
47,East Baton Rouge Parish,2005,White alone,445108
48,East Baton Rouge Parish,2006,White alone,445122
49,East Baton Rouge Parish,2007,White alone,440912
50,East Baton Rouge Parish,2008,White alone,439092
51,East Baton Rouge Parish,2009,White alone,440316
52,East Baton Rouge Parish,2010,White alone,442306
53,East Baton Rouge Parish,2011,White alone,439338
54,East Baton Rouge Parish,2012,White alone,437868
55,East Baton Rouge Parish,2013,White alone,436410
56,East Baton Rouge Parish,2014,White alone,434970
57,East Baton Rouge Parish,2015,White alone,434066
58,East Baton Rouge Parish,2016,White alone,433202
59,East Baton Rouge Parish,2017,White alone,428866
60,East Baton Rouge Parish,2018,White alone,423904
61,East Baton Rouge Parish,2019,White alone,420136
62,East Baton Rouge Parish,2020,White alone,416304
63,East Feliciana Parish,2000,White alone,22176
64,East Feliciana Parish,2001,White alone,22070
65,East Feliciana Parish,2002,White alone,21760
66,East Feliciana Parish,2003,White alone,21828
67,East Feliciana Parish,2004,White alone,21680
68,East Feliciana Parish,2005,White alone,21710
69,East Feliciana Parish,2006,White alone,21816
70,East Feliciana Parish,2007,White alone,21778
71,East Feliciana Parish,2008,White alone,21634
72,East Feliciana Parish,2009,White alone,21870
73,East Feliciana Parish,2010,White alone,21512
74,East Feliciana Parish,2011,White alone,21508
75,East Feliciana Parish,2012,White alone,21282
76,East Feliciana Parish,2013,White alone,20962
77,East Feliciana Parish,2014,White alone,21124
78,East Feliciana Parish,2015,White alone,20970
79,East Feliciana Parish,2016,White alone,21090
80,East Feliciana Parish,2017,White alone,21192
81,East Feliciana Parish,2018,White alone,21118
82,East Feliciana Parish,2019,White alone,21036
83,East Feliciana Parish,2020,White alone,20938
84,Iberville Parish,2000,White alone,32880
85,Iberville Parish,2001,White alone,33034
86,Iberville Parish,2002,White alone,32896
87,Iberville Parish,2003,White alone,32642
88,Iberville Parish,2004,White alone,32570
89,Iberville Parish,2005,White alone,32610
90,Iberville Parish,2006,White alone,32700
91,Iberville Parish,2007,White alone,32778
92,Iberville Parish,2008,White alone,32964
93,Iberville Parish,2009,White alone,32952
94,Iberville Parish,2010,White alone,32914
95,Iberville Parish,2011,White alone,32878
96,Iberville Parish,2012,White alone,32906
97,Iberville Parish,2013,White alone,33026
98,Iberville Parish,2014,White alone,32748
99,Iberville Parish,2015,White alone,32788
100,Iberville Parish,2016,White alone,32488
101,Iberville Parish,2017,White alone,32516
102,Iberville Parish,2018,White alone,32336
103,Iberville Parish,2019,White alone,32238
104,Iberville Parish,2020,White alone,31878
105,Jefferson Parish,2000,White alone,658044
106,Jefferson Parish,2001,White alone,649178
107,Jefferson Parish,2002,White alone,643408
108,Jefferson Parish,2003,White alone,639194
109,Jefferson Parish,2004,White alone,635310
110,Jefferson Parish,2005,White alone,629660
111,Jefferson Parish,2006,White alone,587014
112,Jefferson Parish,2007,White alone,587354
113,Jefferson Parish,2008,White alone,582994
114,Jefferson Parish,2009,White alone,581212
115,Jefferson Parish,2010,White alone,581130
116,Jefferson Parish,2011,White alone,582578
117,Jefferson Parish,2012,White alone,580262
118,Jefferson Parish,2013,White alone,579034
119,Jefferson Parish,2014,White alone,576624
120,Jefferson Parish,2015,White alone,576314
121,Jefferson Parish,2016,White alone,575194
122,Jefferson Parish,2017,White alone,571208
123,Jefferson Parish,2018,White alone,565730
124,Jefferson Parish,2019,White alone,561728
125,Jefferson Parish,2020,White alone,556154
126,Livingston Parish,2000,White alone,175338
127,Livingston Parish,2001,White alone,180336
128,Livingston Parish,2002,White alone,186240
129,Livingston Parish,2003,White alone,191848
130,Livingston Parish,2004,White alone,199054
131,Livingston Parish,2005,White alone,204796
132,Livingston Parish,2006,White alone,216314
133,Livingston Parish,2007,White alone,223084
134,Livingston Parish,2008,White alone,230722
135,Livingston Parish,2009,White alone,234764
136,Livingston Parish,2010,White alone,238402
137,Livingston Parish,2011,White alone,240428
138,Livingston Parish,2012,White alone,242750
139,Livingston Parish,2013,White alone,246044
140,Livingston Parish,2014,White alone,248484
141,Livingston Parish,2015,White alone,251474
142,Livingston Parish,2016,White alone,255156
143,Livingston Parish,2017,White alone,251392
144,Livingston Parish,2018,White alone,253518
145,Livingston Parish,2019,White alone,255668
146,Livingston Parish,2020,White alone,257918
147,Orleans Parish,2000,White alone,281210
148,Orleans Parish,2001,White alone,281426
149,Orleans Parish,2002,White alone,282984
150,Orleans Parish,2003,White alone,284672
151,Orleans Parish,2004,White alone,286446
152,Orleans Parish,2005,White alone,287172
153,Orleans Parish,2006,White alone,167866
154,Orleans Parish,2007,White alone,186698
155,Orleans Parish,2008,White alone,205588
156,Orleans Parish,2009,White alone,223514
157,Orleans Parish,2010,White alone,239148
158,Orleans Parish,2011,White alone,247700
159,Orleans Parish,2012,White alone,254470
160,Orleans Parish,2013,White alone,261112
161,Orleans Parish,2014,White alone,265718
162,Orleans Parish,2015,White alone,270918
163,Orleans Parish,2016,White alone,273432
164,Orleans Parish,2017,White alone,272702
165,Orleans Parish,2018,White alone,272612
166,Orleans Parish,2019,White alone,273208
167,Orleans Parish,2020,White alone,273272
168,Plaquemines Parish,2000,White alone,37800
169,Plaquemines Parish,2001,White alone,38208
170,Plaquemines Parish,2002,White alone,38792
171,Plaquemines Parish,2003,White alone,39996
172,Plaquemines Parish,2004,White alone,41986
173,Plaquemines Parish,2005,White alone,42380
174,Plaquemines Parish,2006,White alone,32148
175,Plaquemines Parish,2007,White alone,32504
176,Plaquemines Parish,2008,White alone,32650
177,Plaquemines Parish,2009,White alone,32478
178,Plaquemines Parish,2010,White alone,33202
179,Plaquemines Parish,2011,White alone,33736
180,Plaquemines Parish,2012,White alone,34214
181,Plaquemines Parish,2013,White alone,33746
182,Plaquemines Parish,2014,White alone,33150
183,Plaquemines Parish,2015,White alone,33114
184,Plaquemines Parish,2016,White alone,32782
185,Plaquemines Parish,2017,White alone,32520
186,Plaquemines Parish,2018,White alone,32442
187,Plaquemines Parish,2019,White alone,32288
188,Plaquemines Parish,2020,White alone,32044
189,Pointe Coupee Parish,2000,White alone,27866
190,Pointe Coupee Parish,2001,White alone,27754
191,Pointe Coupee Parish,2002,White alone,27752
192,Pointe Coupee Parish,2003,White alone,27770
193,Pointe Coupee Parish,2004,White alone,27736
194,Pointe Coupee Parish,2005,White alone,27684
195,Pointe Coupee Parish,2006,White alone,27916
196,Pointe Coupee Parish,2007,White alone,28256
197,Pointe Coupee Parish,2008,White alone,28188
198,Pointe Coupee Parish,2009,White alone,28252
199,Pointe Coupee Parish,2010,White alone,28442
200,Pointe Coupee Parish,2011,White alone,28360
201,Pointe Coupee Parish,2012,White alone,28254
202,Pointe Coupee Parish,2013,White alone,28150
203,Pointe Coupee Parish,2014,White alone,27972
204,Pointe Coupee Parish,2015,White alone,27814
205,Pointe Coupee Parish,2016,White alone,27638
206,Pointe Coupee Parish,2017,White alone,27614
207,Pointe Coupee Parish,2018,White alone,27340
208,Pointe Coupee Parish,2019,White alone,27254
209,Pointe Coupee Parish,2020,White alone,27102
210,St. Bernard Parish,2000,White alone,120316
211,St. Bernard Parish,2001,White alone,121094
212,St. Bernard Parish,2002,White alone,121968
213,St. Bernard Parish,2003,White alone,122666
214,St. Bernard Parish,2004,White alone,123412
215,St. Bernard Parish,2005,White alone,123668
216,St. Bernard Parish,2006,White alone,25858
217,St. Bernard Parish,2007,White alone,37190
218,St. Bernard Parish,2008,White alone,45350
219,St. Bernard Parish,2009,White alone,51148
220,St. Bernard Parish,2010,White alone,56420
221,St. Bernard Parish,2011,White alone,59636
222,St. Bernard Parish,2012,White alone,61752
223,St. Bernard Parish,2013,White alone,63642
224,St. Bernard Parish,2014,White alone,64506
225,St. Bernard Parish,2015,White alone,65542
226,St. Bernard Parish,2016,White alone,65498
227,St. Bernard Parish,2017,White alone,65274
228,St. Bernard Parish,2018,White alone,65678
229,St. Bernard Parish,2019,White alone,65934
230,St. Bernard Parish,2020,White alone,66182
231,St. Charles Parish,2000,White alone,70352
232,St. Charles Parish,2001,White alone,70372
233,St. Charles Parish,2002,White alone,70866
234,St. Charles Parish,2003,White alone,71240
235,St. Charles Parish,2004,White alone,72168
236,St. Charles Parish,2005,White alone,72832
237,St. Charles Parish,2006,White alone,74556
238,St. Charles Parish,2007,White alone,74426
239,St. Charles Parish,2008,White alone,73976
240,St. Charles Parish,2009,White alone,74292
241,St. Charles Parish,2010,White alone,74668
242,St. Charles Parish,2011,White alone,73852
243,St. Charles Parish,2012,White alone,74036
244,St. Charles Parish,2013,White alone,74286
245,St. Charles Parish,2014,White alone,74476
246,St. Charles Parish,2015,White alone,74260
247,St. Charles Parish,2016,White alone,74444
248,St. Charles Parish,2017,White alone,74016
249,St. Charles Parish,2018,White alone,74058
250,St. Charles Parish,2019,White alone,74506
251,St. Charles Parish,2020,White alone,74266
252,St. Helena Parish,2000,White alone,9904
253,St. Helena Parish,2001,White alone,9812
254,St. Helena Parish,2002,White alone,9882
255,St. Helena Parish,2003,White alone,9846
256,St. Helena Parish,2004,White alone,9758
257,St. Helena Parish,2005,White alone,9696
258,St. Helena Parish,2006,White alone,9908
259,St. Helena Parish,2007,White alone,9996
260,St. Helena Parish,2008,White alone,9978
261,St. Helena Parish,2009,White alone,10052
262,St. Helena Parish,2010,White alone,10122
263,St. Helena Parish,2011,White alone,9908
264,St. Helena Parish,2012,White alone,9916
265,St. Helena Parish,2013,White alone,9696
266,St. Helena Parish,2014,White alone,9494
267,St. Helena Parish,2015,White alone,9414
268,St. Helena Parish,2016,White alone,9350
269,St. Helena Parish,2017,White alone,9376
270,St. Helena Parish,2018,White alone,9244
271,St. Helena Parish,2019,White alone,9220
272,St. Helena Parish,2020,White alone,9164
273,St. James Parish,2000,White alone,21218
274,St. James Parish,2001,White alone,21312
275,St. James Parish,2002,White alone,21298
276,St. James Parish,2003,White alone,21234
277,St. James Parish,2004,White alone,21196
278,St. James Parish,2005,White alone,21312
279,St. James Parish,2006,White alone,21456
280,St. James Parish,2007,White alone,21480
281,St. James Parish,2008,White alone,21536
282,St. James Parish,2009,White alone,21596
283,St. James Parish,2010,White alone,21336
284,St. James Parish,2011,White alone,21172
285,St. James Parish,2012,White alone,21226
286,St. James Parish,2013,White alone,21340
287,St. James Parish,2014,White alone,21222
288,St. James Parish,2015,White alone,21184
289,St. James Parish,2016,White alone,21230
290,St. James Parish,2017,White alone,21278
291,St. James Parish,2018,White alone,20998
292,St. James Parish,2019,White alone,20996
293,St. James Parish,2020,White alone,20738
294,St. John the Baptist Parish,2000,White alone,46312
295,St. John the Baptist Parish,2001,White alone,46268
296,St. John the Baptist Parish,2002,White alone,46110
297,St. John the Baptist Parish,2003,White alone,45758
298,St. John the Baptist Parish,2004,White alone,45330
299,St. John the Baptist Parish,2005,White alone,45052
