Year,County,Median_income
2000,Ascension Parish,68231.71764227642
2001,Ascension Parish,65664.34027667984
2002,Ascension Parish,66485.22264591439
2003,Ascension Parish,67458.24320108695
2004,Ascension Parish,66845.57903123344
2005,Ascension Parish,64192.54910394265
2006,Ascension Parish,69371.87503472222
2007,Ascension Parish,70799.74110406959
2008,Ascension Parish,73741.47501428219
2009,Ascension Parish,73582.53795382613
2010,Ascension Parish,73669.79105826025
2011,Ascension Parish,72837.65978776469
2012,Ascension Parish,73577.06552000488
2013,Ascension Parish,78105.357353503
2014,Ascension Parish,73574.4520858678
2015,Ascension Parish,81734.7319896885
2016,Ascension Parish,80026.34061506539
2017,Ascension Parish,76184.10939131853
2018,Ascension Parish,80143.626971769
2019,Ascension Parish,84096.84613368692
2020,Ascension Parish,88680.0
2000,Caddo Parish,48493.24573170731
2001,Caddo Parish,46089.10964426877
2002,Caddo Parish,44935.862062256805
2003,Caddo Parish,45927.69984782609
2004,Caddo Parish,45473.462625727894
2005,Caddo Parish,44530.599247311824
2006,Caddo Parish,42350.77420138889
2007,Caddo Parish,44370.91673177647
2008,Caddo Parish,43908.30316809334
2009,Caddo Parish,45956.66502747778
2010,Caddo Parish,44792.476836225556
2011,Caddo Parish,45963.491559934024
2012,Caddo Parish,45603.10376142233
2013,Caddo Parish,44190.41426529359
2014,Caddo Parish,43524.36271627467
2015,Caddo Parish,44858.44766831071
2016,Caddo Parish,41423.649118567366
2017,Caddo Parish,39738.1315110966
2018,Caddo Parish,41708.53356139016
2019,Caddo Parish,46175.72037143516
2020,Caddo Parish,43216.0
2000,East Baton Rouge Parish,57027.09508130082
2001,East Baton Rouge Parish,54341.541699604735
2002,East Baton Rouge Parish,53052.65840466926
2003,East Baton Rouge Parish,52461.27101630434
2004,East Baton Rouge Parish,51052.490640550546
2005,East Baton Rouge Parish,52558.6434767025
2006,East Baton Rouge Parish,55898.554375
2007,East Baton Rouge Parish,52641.70454128926
2008,East Baton Rouge Parish,55972.357993153826
2009,East Baton Rouge Parish,53948.866256170266
2010,East Baton Rouge Parish,53304.93460854091
2011,East Baton Rouge Parish,52839.37584856338
2012,East Baton Rouge Parish,53419.490400446
2013,East Baton Rouge Parish,53071.6032143271
2014,East Baton Rouge Parish,51197.8657280684
2015,East Baton Rouge Parish,55022.329533324606
2016,East Baton Rouge Parish,54403.72056231692
2017,East Baton Rouge Parish,57537.72288674935
2018,East Baton Rouge Parish,54569.3604519189
2019,East Baton Rouge Parish,56997.60121177984
2020,East Baton Rouge Parish,57099.0
2000,East Feliciana Parish,47053.40288617886
2001,East Feliciana Parish,44360.29308300395
2002,East Feliciana Parish,44197.8407003891
2003,East Feliciana Parish,44089.29779891304
2004,East Feliciana Parish,43836.19875595553
2005,East Feliciana Parish,47397.000645161286
2006,East Feliciana Parish,44425.370312499996
2007,East Feliciana Parish,44886.4367084334
2008,East Feliciana Parish,47174.349098712046
2009,East Feliciana Parish,46874.71259503023
2010,East Feliciana Parish,50261.71908592288
2011,East Feliciana Parish,44272.13448090371
2012,East Feliciana Parish,47988.37548455098
2013,East Feliciana Parish,46192.403568040456
2014,East Feliciana Parish,45534.84455680589
2015,East Feliciana Parish,47068.55691785821
2016,East Feliciana Parish,49789.47069043819
2017,East Feliciana Parish,48399.30413266971
2018,East Feliciana Parish,46559.94501945385
2019,East Feliciana Parish,50658.34790754799
2020,East Feliciana Parish,52158.0
2000,Iberville Parish,44892.135650406504
2001,Iberville Parish,42378.657193675885
2002,Iberville Parish,42061.463073929954
2003,Iberville Parish,42535.0252173913
2004,Iberville Parish,42113.98897829539
2005,Iberville Parish,42879.40362007168
2006,Iberville Parish,41409.76
2007,Iberville Parish,46787.494636880125
2008,Iberville Parish,46486.76048173968
2009,Iberville Parish,46690.137985522306
2010,Iberville Parish,47642.22740947279
2011,Iberville Parish,43528.857832567934
2012,Iberville Parish,44419.48594039914
2013,Iberville Parish,44938.10505372236
2014,Iberville Parish,51794.77877044472
2015,Iberville Parish,45861.95083053115
2016,Iberville Parish,44944.454407579775
2017,Iberville Parish,46890.48837304177
2018,Iberville Parish,49387.10066624984
2019,Iberville Parish,55878.969001435515
2020,Iberville Parish,36990.0
2000,Jefferson Parish,56654.35914634146
2001,Jefferson Parish,54218.78549407114
2002,Jefferson Parish,53685.659182879375
2003,Jefferson Parish,53558.40460326086
2004,Jefferson Parish,52384.22326098464
2005,Jefferson Parish,55031.46132616487
2006,Jefferson Parish,56715.04145833333
2007,Jefferson Parish,59123.77533736531
2008,Jefferson Parish,56575.8011500072
2009,Jefferson Parish,56009.346210676944
2010,Jefferson Parish,55190.92113952378
2011,Jefferson Parish,50280.479152125685
2012,Jefferson Parish,51307.0144036865
2013,Jefferson Parish,51712.872405637085
2014,Jefferson Parish,51408.86246282779
2015,Jefferson Parish,54054.86076104245
2016,Jefferson Parish,53573.39282187603
2017,Jefferson Parish,54335.31686928851
2018,Jefferson Parish,52431.72982433783
2019,Jefferson Parish,56598.74049605525
2020,Jefferson Parish,58586.0
2000,Livingston Parish,60535.02117886179
2001,Livingston Parish,57501.05260869565
