SizeRank,County,Year,Value,Impact
158,East Baton Rouge Parish,2000,198029.2663591172,Unaffected
160,Jefferson Parish,2000,145386.55321138212,Affected
178,Orleans Parish,2000,120772.45479674796,Affected
274,Caddo Parish,2000,132792.264846476,Unaffected
462,Livingston Parish,2000,150296.74796747966,Unaffected
1041,Washington Parish,2000,150296.74796747966,Affected
1360,Iberville Parish,2000,172569.68699312696,Unaffected
1560,West Baton Rouge Parish,2000,183871.31580885407,Unaffected
1661,Plaquemines Parish,2000,285832.149543545,Affected
1725,Pointe Coupee Parish,2000,150296.74796747966,Unaffected
2071,West Feliciana Parish,2000,201201.32127984276,Unaffected
158,East Baton Rouge Parish,2000,198029.2663591172,Unaffected
160,Jefferson Parish,2000,145379.03837398373,Affected
178,Orleans Parish,2000,120897.20109756096,Affected
274,Caddo Parish,2000,132792.264846476,Unaffected
462,Livingston Parish,2000,150296.74796747966,Unaffected
1041,Washington Parish,2000,150296.74796747966,Affected
1360,Iberville Parish,2000,172569.68699312696,Unaffected
1560,West Baton Rouge Parish,2000,183871.31580885407,Unaffected
1661,Plaquemines Parish,2000,285832.149543545,Affected
1725,Pointe Coupee Parish,2000,150296.74796747966,Unaffected
2071,West Feliciana Parish,2000,201201.32127984276,Unaffected
158,East Baton Rouge Parish,2000,198029.2663591172,Unaffected
160,Jefferson Parish,2000,145180.64666666667,Affected
178,Orleans Parish,2000,121242.88361788615,Affected
274,Caddo Parish,2000,132792.264846476,Unaffected
462,Livingston Parish,2000,150296.74796747966,Unaffected
1041,Washington Parish,2000,150296.74796747966,Affected
1360,Iberville Parish,2000,172569.68699312696,Unaffected
1560,West Baton Rouge Parish,2000,183871.31580885407,Unaffected
1661,Plaquemines Parish,2000,285832.149543545,Affected
1725,Pointe Coupee Parish,2000,150296.74796747966,Unaffected
2071,West Feliciana Parish,2000,201201.32127984276,Unaffected
158,East Baton Rouge Parish,2000,198029.2663591172,Unaffected
160,Jefferson Parish,2000,145392.56508130085,Affected
178,Orleans Parish,2000,121765.916300813,Affected
274,Caddo Parish,2000,132792.264846476,Unaffected
462,Livingston Parish,2000,150296.74796747966,Unaffected
1041,Washington Parish,2000,150296.74796747966,Affected
1360,Iberville Parish,2000,172569.68699312696,Unaffected
1560,West Baton Rouge Parish,2000,183871.31580885407,Unaffected
1661,Plaquemines Parish,2000,285832.149543545,Affected
1725,Pointe Coupee Parish,2000,150296.74796747966,Unaffected
2071,West Feliciana Parish,2000,201201.32127984276,Unaffected
158,East Baton Rouge Parish,2000,198029.2663591172,Unaffected
160,Jefferson Parish,2000,145936.6393089431,Affected
178,Orleans Parish,2000,122338.5469105691,Affected
274,Caddo Parish,2000,132792.264846476,Unaffected
462,Livingston Parish,2000,150296.74796747966,Unaffected
1041,Washington Parish,2000,150296.74796747966,Affected
1360,Iberville Parish,2000,172569.68699312696,Unaffected
1560,West Baton Rouge Parish,2000,183871.31580885407,Unaffected
1661,Plaquemines Parish,2000,285832.149543545,Affected
1725,Pointe Coupee Parish,2000,150296.74796747966,Unaffected
2071,West Feliciana Parish,2000,201201.32127984276,Unaffected
158,East Baton Rouge Parish,2000,198029.2663591172,Unaffected
160,Jefferson Parish,2000,146461.1749593496,Affected
178,Orleans Parish,2000,123056.96536585366,Affected
274,Caddo Parish,2000,132792.264846476,Unaffected
462,Livingston Parish,2000,150296.74796747966,Unaffected
1041,Washington Parish,2000,150296.74796747966,Affected
1360,Iberville Parish,2000,172569.68699312696,Unaffected
1560,West Baton Rouge Parish,2000,183871.31580885407,Unaffected
1661,Plaquemines Parish,2000,285832.149543545,Affected
1725,Pointe Coupee Parish,2000,150296.74796747966,Unaffected
2071,West Feliciana Parish,2000,201201.32127984276,Unaffected
158,East Baton Rouge Parish,2000,198029.2663591172,Unaffected
160,Jefferson Parish,2000,146688.1230487805,Affected
178,Orleans Parish,2000,123706.24731707315,Affected
274,Caddo Parish,2000,132792.264846476,Unaffected
462,Livingston Parish,2000,150296.74796747966,Unaffected
1041,Washington Parish,2000,150296.74796747966,Affected
1360,Iberville Parish,2000,172569.68699312696,Unaffected
1560,West Baton Rouge Parish,2000,183871.31580885407,Unaffected
1661,Plaquemines Parish,2000,285832.149543545,Affected
1725,Pointe Coupee Parish,2000,150296.74796747966,Unaffected
2071,West Feliciana Parish,2000,201201.32127984276,Unaffected
158,East Baton Rouge Parish,2000,198029.2663591172,Unaffected
160,Jefferson Parish,2000,146659.56666666668,Affected
178,Orleans Parish,2000,124585.48329268293,Affected
274,Caddo Parish,2000,132792.264846476,Unaffected
462,Livingston Parish,2000,150296.74796747966,Unaffected
1041,Washington Parish,2000,150296.74796747966,Affected
