,SizeRank,County,Year,Value
0,158,East Baton Rouge Parish,2000,198029.2663591172
1,160,Jefferson Parish,2000,145386.55321138212
2,178,Orleans Parish,2000,120772.45479674796
3,274,Caddo Parish,2000,132792.264846476
4,462,Livingston Parish,2000,150296.74796747966
5,1041,Washington Parish,2000,150296.74796747966
6,1360,Iberville Parish,2000,172569.68699312696
7,1560,West Baton Rouge Parish,2000,183871.31580885407
8,1661,Plaquemines Parish,2000,285832.149543545
9,1725,Pointe Coupee Parish,2000,150296.74796747966
10,2071,West Feliciana Parish,2000,201201.32127984276
11,158,East Baton Rouge Parish,2000,198029.2663591172
12,160,Jefferson Parish,2000,145379.03837398373
13,178,Orleans Parish,2000,120897.20109756096
14,274,Caddo Parish,2000,132792.264846476
15,462,Livingston Parish,2000,150296.74796747966
16,1041,Washington Parish,2000,150296.74796747966
17,1360,Iberville Parish,2000,172569.68699312696
18,1560,West Baton Rouge Parish,2000,183871.31580885407
19,1661,Plaquemines Parish,2000,285832.149543545
20,1725,Pointe Coupee Parish,2000,150296.74796747966
21,2071,West Feliciana Parish,2000,201201.32127984276
22,158,East Baton Rouge Parish,2000,198029.2663591172
23,160,Jefferson Parish,2000,145180.64666666667
24,178,Orleans Parish,2000,121242.88361788615
25,274,Caddo Parish,2000,132792.264846476
26,462,Livingston Parish,2000,150296.74796747966
27,1041,Washington Parish,2000,150296.74796747966
28,1360,Iberville Parish,2000,172569.68699312696
29,1560,West Baton Rouge Parish,2000,183871.31580885407
30,1661,Plaquemines Parish,2000,285832.149543545
31,1725,Pointe Coupee Parish,2000,150296.74796747966
32,2071,West Feliciana Parish,2000,201201.32127984276
33,158,East Baton Rouge Parish,2000,198029.2663591172
34,160,Jefferson Parish,2000,145392.56508130085
35,178,Orleans Parish,2000,121765.916300813
36,274,Caddo Parish,2000,132792.264846476
37,462,Livingston Parish,2000,150296.74796747966
38,1041,Washington Parish,2000,150296.74796747966
39,1360,Iberville Parish,2000,172569.68699312696
40,1560,West Baton Rouge Parish,2000,183871.31580885407
41,1661,Plaquemines Parish,2000,285832.149543545
42,1725,Pointe Coupee Parish,2000,150296.74796747966
43,2071,West Feliciana Parish,2000,201201.32127984276
44,158,East Baton Rouge Parish,2000,198029.2663591172
45,160,Jefferson Parish,2000,145936.6393089431
46,178,Orleans Parish,2000,122338.5469105691
47,274,Caddo Parish,2000,132792.264846476
48,462,Livingston Parish,2000,150296.74796747966
49,1041,Washington Parish,2000,150296.74796747966
